"","hcid","UTMX","UTMY","elev","closest_clinic","catchment_area","closest_river","drought_i","prec","ndvi","tmax","tmin","tmean","tmeanC","date2","name","date","rdtp_u5","rdtp_a5","pos_rdt","yearmon"
"32",111,467667,8203684,1160,14287.04886,403728921.6,354.87025,38.1442854745047,0.157000005012378,0.524714291095733,302.181710379464,286.186431884766,294.184071132115,21.034071132115,2012-05-06,"Mobola",2012-04-30,5,8,8,May 2012
"33",110,495413,8168780,1204,19538.89434,759644033.9,1078.508669,39.9182848249163,0.195999996736646,0.525142865521567,301.549429757255,286.05029296875,293.799861363002,20.6498613630024,2012-05-06,"Mbabala",2012-04-30,2,6,6,May 2012
"34",109,489883,8203015,1055,7975.726801,239798716.4,479.828009,32.1332860674176,0.417999989353121,0.526714290891375,302.066284179688,285.877144949777,293.971714564732,20.8217145647322,2012-05-06,"Mapanza",2012-04-30,1,2,2,May 2012
"35",108,504094,8191539,1083,10207.77669,309214284.2,6673.366861,32.1332860674176,0.417999989353121,0.526714290891375,302.066284179688,285.877144949777,293.971714564732,20.8217145647322,2012-05-06,"Mangunza",2012-04-30,2,6,6,May 2012
"36",107,477702.886,8187492.626,1140,12721.14216,241078519.7,4584.596115,38.3542856488909,0.0459999996237457,0.494857149464743,301.731571742466,286.089852469308,293.910712105887,20.7607121058873,2012-05-06,"Macha",2012-04-30,1,4,4,May 2012
"37",106,475899,8169766,1268,14303.26344,419002790.9,5722.102797,38.3542856488909,0.0459999996237457,0.494857149464743,301.731571742466,286.089852469308,293.910712105887,20.7607121058873,2012-05-06,"Kamwanu",2012-04-30,3,3,3,May 2012
"38",105,486462,8245784,1011,20171.62066,1028382139,15745.78486,33.6295721871512,0.620000007096678,0.543142863682338,302.308715820313,284.746002197266,293.527359008789,20.3773590087891,2012-05-06,"Kabulamwanda",2012-04-30,1,3,3,May 2012
"39",104,448856,8191328,1219,13440.04423,448935561.7,2811.055333,30.0987142835345,0.158999993465841,0.544285723141262,302.602569580078,286.739859444754,294.671214512416,21.5212145124164,2012-05-06,"Habulile",2012-04-30,4,10,10,May 2012
"40",103,492896,8226666,1011,20171.62066,818234640.6,7359.362935,31.5358573368617,0.833999997004867,0.535857149532863,302.309579031808,285.435006277902,293.872292654855,20.7222926548549,2012-05-06,"Chitongo",2012-04-30,1,2,2,May 2012
"41",102,488710,8193870,1100,6747.577047,102078346.6,3139.40613,32.1332860674176,0.417999989353121,0.526714290891375,302.066284179688,285.877144949777,293.971714564732,20.8217145647322,2012-05-06,"Chilalantambo",2012-04-30,0,0,0,May 2012
"42",101,462089,8188978,1188,10862.85713,196111854.8,6450.007832,38.3542856488909,0.0459999996237457,0.494857149464743,301.731571742466,286.089852469308,293.910712105887,20.7607121058873,2012-05-06,"Chilala",2012-04-30,0,8,8,May 2012
"43",114,481916,8202642,1114,7975.726801,228760980.8,5038.897067,33.3361440386091,1.75199997425079,0.498142855507987,300.457715715681,287.028856549944,293.743286132812,20.5932861328124,2012-05-13,"Simaubi",2012-05-07,0,2,2,May 2012
"44",113,464482,8178382,1207,10862.85713,248957046,3571.639345,39.0788568769183,3.28999996185303,0.465857139655522,299.938860212053,286.595001220703,293.266930716378,20.1169307163784,2012-05-13,"Siabunkululu",2012-05-07,4,9,9,May 2012
"45",112,494046,8189740,1109,6747.577047,180701266.4,1199.13243,41.081428527832,3.91599988937378,0.497285723686218,299.884708949498,286.844857352121,293.364783150809,20.2147831508092,2012-05-13,"Nalube",2012-05-07,0,2,2,May 2012
"46",111,467667,8203684,1160,14287.04886,403728921.6,354.87025,39.3428573608398,1.52300000190735,0.496571430138179,300.49742780413,286.856859479632,293.677143641881,20.5271436418806,2012-05-13,"Mobola",2012-05-07,0,4,4,May 2012
"47",110,495413,8168780,1204,19538.89434,759644033.9,1078.508669,41.081428527832,3.91599988937378,0.497285723686218,299.884708949498,286.844857352121,293.364783150809,20.2147831508092,2012-05-13,"Mbabala",2012-05-07,1,2,2,May 2012
"48",109,489883,8203015,1055,7975.726801,239798716.4,479.828009,33.3361440386091,1.75199997425079,0.498142855507987,300.457715715681,287.028856549944,293.743286132812,20.5932861328124,2012-05-13,"Mapanza",2012-05-07,0,4,4,May 2012
"49",108,504094,8191539,1083,10207.77669,309214284.2,6673.366861,33.3361440386091,1.75199997425079,0.498142855507987,300.457715715681,287.028856549944,293.743286132812,20.5932861328124,2012-05-13,"Mangunza",2012-05-07,0,2,2,May 2012
